index,artist,title,language,location,year,LAT,LONG,SHORT_NAME
110,The Links,My Way,English,United States,1971,39.828175,-98.5795,United States
111,Peter Horton,My Way,English,Czech Republic,1971,49.75,15.0,Czech Republic
112,Lovelace Watkins,My Way,English,United States,1971,39.828175,-98.5795,United States
113,Joe Frazier,My Way,English,United States,1971,39.828175,-98.5795,United States
114,Nina Simone,My Way,English,United States,1971,39.828175,-98.5795,United States
115,Dean Reed,Я всегда все делал по-…,English,United States,1972,39.828175,-98.5795,United States
116,Al Saxon,My Way,English,United Kingdom,1972,54.0,-4.0,United Kingdom
117,Edward Woodward,My Way,English,United Kingdom,1972,54.0,-4.0,United Kingdom
118,Elvis Presley,My Way,English,United States,1973,39.828175,-98.5795,United States
119,Cliff Richard,My Way,English,United Kingdom,1973,54.0,-4.0,United Kingdom
120,Gro Anita Schønn,My Way,English,Norway,1973,62.0,10.0,Norway
121,Bruce Forsyth,You Made Me So Very Happy / Gentle on M…,5-songmedley.,United Kingdom,1973,54.0,-4.0,United Kingdom
122,Jan Høiland,My Way,English,Norway,1973,62.0,10.0,Norway
123,The Peddlers,My Way,English,United Kingdom,1974,54.0,-4.0,United Kingdom
124,Major Harris,My Way,English,United States,1974,39.828175,-98.5795,United States
125,Frank Lammar,My Way,English,United Kingdom,1975,54.0,-4.0,United Kingdom
126,Johnny Rodriguez,My Way,English,United States,1975,39.828175,-98.5795,United States
127,Tammy Jones,My Way,English,United Kingdom,1975,54.0,-4.0,United Kingdom
128,Ryan,Comme d'habitude,English,United Kingdom,1975,54.0,-4.0,United Kingdom
129,Brenda Lee,My Way,English,United States,1975,39.828175,-98.5795,United States
130,Anita Harris,My Way,English,United Kingdom,1976,54.0,-4.0,United Kingdom
131,Mike Brant,My Way,English,Israel,1976,31.5,34.75,Israel
132,Raul Seixas,My Way/Trouble,Requestasynchronizationlicense,Brazil,1977,-10.0,-55.0,Brazil
133,Sex Pistols,My Way,English,United Kingdom,1978,54.0,-4.0,United Kingdom
134,Jerry Walker,My Way,English,United States,1978,39.828175,-98.5795,United States
135,Whispering Band,My Way,English,Sweden,1978,62.0,15.0,Sweden
136,Jimmy Ellis,My Way,English,United States,1978,39.828175,-98.5795,United States
137,Johnny Farago,My Way,English,Canada,1978,60.0,-96.0,Canada
138,Sid Vicious,My Way,English,United States,1979,39.828175,-98.5795,United States
